순서,단어,해석
27,plain,검소한
13,unique,독특한
10,empty-headed,무지한
48,eccentric,별난
68,rigid,엄격한
2,alert,정신이 초롱초롱한
27,crude,조잡한
4,slender,가느다란
7,harsh,가혹한
5,concise,간결한
6,brief,간단한
3,moving,감동적인
4,sentimental,감상적인
5,admiring,감탄하는
7,abrupt,갑작스러운
8,potent,강력한
9,intense,강렬한
6,objective,객관적인
14,huge,거대한
15,haughty,거만한
9,worried,거친
8,concerned,걱정스러운
19,wholesome,건강에 좋은
17,constructive,건설적인
20,frugal,검소한
21,timid,겁 많은
34,deliberate,신중한
34,innumerable,겁나 많은
28,optimistic,겁에 질린
22,indolent,게으른
24,innocent,결백한
25,humble,겸손한
16,impartial,고독한
27,decent,고상한
62,constant,고양이를 좋아하는
28,serene,고요한
29,stubborn,고집 센
32,aggressive,공격적인
14,adorable,공경할 만한
28,civil,공손한
41,righteous,공정한
36,arrogant,교만한
37,sly,교활한
42,domestic,국산
43,military,군대
46,precious,귀중한
47,plausible,그럴 듯한
21,industrious,근면한
36,unprecedented,근본 없는
52,affirmative,긍정적인
66,fertile,기름진
48,descriptive,기묘한
24,delighted,기쁜
26,relaxed,긴장을 푼
57,astray,길 잃은
27,frightened,깜짝 놀란
9,sanitary,깨끗한
58,incessant,끊임없는
54,staple,나는
20,disappointed,낙담한
38,dynamic,난처한
59,naked,날아다니는
62,acute,날카로운
29,romantic,낭만적인
4,preferable,내가 좋아하는
30,introversive,내성적인
63,reluctant,내키지 않는
32,cold-blooded,냉담한
31,cynical,냉소적인
65,sober,냉정한
64,liberal,너그러운
75,inevitable,너를 기다리는
66,analytic,넘어진
31,incurable,노란
34,argumentative,논쟁적인
35,surprised,놀란
18,unanimous,누구나 탐내는
65,prominent,눈에 띄는
66,visible,눈에 보이는
67,diverse,다양한
36,monotonous,단조로운
33,polite,공손한
1,resolute,단호한
37,perplexed,당황한
43,conscious,대기타고 있는
2,bold,대담한
24,transient,덧없는
5,moral,도덕적인
6,temporary,동그란
39,sympathetic,동정받는
56,partial,두꺼운
40,fearful,두려운
41,dull,둔한
9,rare,드문
44,exact,듣도 보도 못한
10,genial,따뜻한
23,firm,딱딱한
11,persuasive,똑똑한
14,predominant,뛰어난
43,warm-hearted,마음이 따뜻한
44,feeble-minded,마음이 약한
6,athletic,만능 엔터테이너
45,satisfied,만족스러운
19,delicious,맛있는
20,lofty,매우 높은
21,numerous,매우 많은 양의
50,cultural,매혹적인
53,primary,머리아픈
24,distinct,명백한
47,insulting,모욕적인
29,tiny,몹시 작은
45,ultimate,몹쓸
61,harmonious,못된
30,indifferent,무관심한
3,daring,대담한
31,rude,무례한
32,reckless,무모한
33,hideous,무서운
7,simultaneous,빛나는
46,terrified,무서워하는
4,casual,무심한
36,ruthless,무자비한
71,narrow-mined,문 밖의
38,physical,물리적인
35,myriad,물에 빠진
16,harsh,미래에서 온
15,enormous,아름다운
39,subtle,미묘한
60,raw,미숙한
40,sensitive,민감한
51,desirable,바람직한
52,ironical,반어적인
44,ingenious,발명에 재능이 있는
42,stirring,배부른
66,approving,배우가 되고 싶은
46,capricious,변덕스러운
56,changeable,변하기 쉬운
47,consistent,변함없는
54,queer,별난
49,inferior,보다 열등한
50,conservative,보수적인
51,ordinary,보통의
52,complex,복잡한
54,ashamed,부끄러운
55,tender,부드러운
57,defensive,부러워 하는
61,negative,부정적인
57,deficient,부족한
62,reckless,부주의한
58,arctic,북극에서 온
63,outraged,분노에 찬
25,manifest,분명한
17,excessive,불량한
67,miserable,불쌍한
68,anxious,불안한
1,unlucky,불운한
63,absurd,불합리한
60,inevitable,비 맞은
64,informal,비공식적인
4,pessimistic,비관적인
5,tragic,비극적인
6,scornful,비꼬는
65,similar,비슷한
68,abnormal,비정상적인
69,wretched,비참한
7,critical,비판적인
56,meager,빈약한
8,sarcastic,빈정거리는
1,shrewd,빈틈없는
3,brilliant,빛나는
4,rapid,빠른
44,stiff,뻣뻣한
9,sociable,사교적인
5,fierce,사나운
6,discreet,사려 깊은
8,trivial,사소한
2,lonely,외로운
9,wicked,사악한
10,relative,상대적인
12,vivid,생생한
55,apologetic,서러운
14,delicate,섬세한
64,indignant,성난
15,mature,성숙된
65,resentful,성질을 잘내는
46,prime,세계 제일의
49,indifferent,세상에 무관심한
11,encouraged,소심한
18,frank,솔직한
47,narrative,수다쟁이
19,pensive,수심에 잠긴
14,passive,수육이 되고 싶은
20,shy,수줍어하는
22,proficient,숙달된
23,pure,순수한
1,credulous,순진한
24,sublime,숭고한
25,cheerful,스테미나
15,sorrowful,슬퍼하는
55,technical,슬픈
16,humid,습기 찬
25,punctual,시간을 잘 지키는
17,noisy,시끄러운
13,sullen,시무룩한
58,hysterical,신경질적인
19,mysterious,신비한
29,sacred,신성한
32,swift,신속한
7,prudent,신중한
21,serous,심각한
35,profound,심오한
36,severe,심한
38,futile,쓸 데 없는
22,useless,쓸모없는
23,lonely,쓸쓸한
43,precise,정확한
8,akin,아름다운
24,priceless,아주 귀중한
39,notorious,악명 높은
25,relieved,안도의
26,comforted,안락한
40,aware,알고 있는
41,moderate,알맞은
42,obscure,애매한
44,savage,야만적인
48,coarse,야비한
27,ambitious,야심찬
56,main,이기적인
13,annoyed,약 오르는
35,gloomy,어두운
30,indispensable,어리둥절한
47,stupid,어리석은
16,juvenile,어리숙한
49,clumsy,어색한
50,awkward,어설픈
50,subjective,어이없는
53,feudal,억울한
29,blushful,얼굴을 붉히는
51,strict,엄격한
52,solemn,엄숙한
53,tremendous,엄청난
54,stern,엄한
58,ardent,열렬한
59,vehement,열정적인
61,impudent,염치없는
62,eternal,영원한
64,durable,오래 견디는
20,previous,오래된
10,timid,겁 많은
65,insolent,오만한
31,genial,온화한
13,aggressive,공격적인
66,obstinate,완고한
67,sheer,완전한
69,royal,왕의
11,aloof,외로운
33,ridiculous,우스꽝스러운
5,gloomy,우울한
20,valuable,귀중한
36,flattered,우쭐해진
22,affirmative,긍정적인
23,positive,적극적인
29,potential,웃고있는
7,primitive,원시적인
8,atomic,원자의
10,stately,위엄이 있는
11,literate,유식한
38,helpful,유용한
12,sole,유일한
14,guilty,유죄의
15,fluent,유창한
33,generous,너그러운
16,indebted,은혜갚은
17,dismal,음침한
60,intent,음흉한
40,depressed,의기소침한
41,triumphant,의기양양한
42,meaningful,의미있는
18,conscious,의식하는
17,vague,의심스러운
44,doubtful,의심스런
18,scientific,이 세상 마지막
19,selfish,이기적인
59,abnormal,이상한
1,alien,이질적인
48,humorous,익살스러운
56,tame,익숙한
21,ripe,익은
22,human,인간의
23,artificial,인공적인 맛
49,popular,인기 있는
53,capricious,변덕스러운
50,impressive,인상적인
25,complacent,자기 만족의
51,boastful,자랑하는
26,voluntary,자발적인
37,regretful,자신감이 차오른
28,petty,작은
60,ashamed,부끄러운
53,cruel,잔인한
60,advisory,장난꾸러기
30,magnificent,장대한
54,talented,재주있는
31,smart,재치있는
2,worthless,저렴한
32,eminent,저명한
46,positive,적극적인
69,restless,비참한
33,adequate,적당한
55,hostile,적대적인
3,unreasonable,불합리한
22,remote,적은 양의
35,pertinent,적절한
37,typical,전형적인
38,absolute,절대적인
67,figurative,정 많은
40,exquisite,정교한
56,informative,정보를 제공하는
41,mental,정신적인
12,explanatory,우울한
3,gallant,정중한
12,upright,정직한
42,accurate,정확한
45,sane,제 정신의
18,nervous,신경질적인
59,impatient,조바심을 내는
47,tranquil,조용한
49,venerable,존경할 만한
52,notable,주목할 만한
63,hesitant,주저하는
57,mortal,죽을 운명의
37,infinite,줄지않는
41,concrete,중국산
64,joyful,즐거운
28,bewildered,당황한
35,surplus,지나친
60,terrible,지독한
32,stern,완고한
61,tedious,지루한
34,melancholy,우울한
62,local,지방에서 올라온
64,earnest,진지한
39,metaphorical,순진한
69,tough,질긴
67,dense,질투많은
63,cordial,집에 가고싶은
15,disinterested,집중하는
59,separate,쪼개진
45,suspicious,매혹적인
46,selfish,이기적인
53,mechanical,차가운
68,tolerable,참을 수 없는
67,creative,창의적인
68,disgraced,창피한
38,instructive,책 읽는
52,confessional,시끄러운
69,initial,처음의
12,respectful,천한
61,keen,총명한
26,ancient,최초의
57,emotional,변덕스러운
58,static,조용한
66,genuine,추운
19,instructive,출출한
2,unnecessary,춤추는
62,respectable,존경할 만한
16,immense,친절한
54,moody,침울한
65,boring,지루한
69,calm,침착한
10,compulsory,탐정
18,robust,튼튼한
70,open-mined,편견없는
72,peaceful,평화로운
73,violent,폭력적인
23,sterile,푸석푸석한
34,slight,하찮은
74,satirical,우스꽝스러운
34,official,학교 가는
78,friendly,호의적인
77,harmful,긍정적인
79,confused,혼란스러운
80,assured,확실한
82,skeptical,회의적인
81,active,냉소적인
83,excited,흥분한
76,desperate,힙합을 즐기는
